life_expectancy,adult_mortality,infant_deaths,percentage_expenditure,measles,bmi,under-five_deaths,polio,diphtheria,hiv/aids,thinness__1-19_years,thinness_5-9_years,income_composition_of_resources,schooling
65.0,263.0,62,71.27962362,1154,19.1,83,6.0,65.0,0.1,17.2,17.3,0.479,10.1
59.9,271.0,64,73.52358168,492,18.6,86,58.0,62.0,0.1,17.5,17.5,0.476,10.0
59.9,268.0,66,73.21924272,430,18.1,89,62.0,64.0,0.1,17.7,17.7,0.47,9.9
59.5,272.0,69,78.18421529999998,2787,17.6,93,67.0,67.0,0.1,17.9,18.0,0.463,9.8
59.2,275.0,71,7.097108703,3013,17.2,97,68.0,68.0,0.1,18.2,18.2,0.454,9.5
58.8,279.0,74,79.67936736,1989,16.7,102,66.0,66.0,0.1,18.4,18.4,0.448,9.2
58.6,281.0,77,56.76221682,2861,16.2,106,63.0,63.0,0.1,18.6,18.7,0.434,8.9
58.1,287.0,80,25.87392536,1599,15.7,110,64.0,64.0,0.1,18.8,18.9,0.433,8.7
57.5,295.0,82,10.91015598,1141,15.2,113,63.0,63.0,0.1,19.0,19.1,0.415,8.4
57.3,295.0,84,17.17151751,1990,14.7,116,58.0,58.0,0.1,19.2,19.3,0.405,8.1
57.3,291.0,85,1.388647732,1296,14.2,118,58.0,58.0,0.1,19.3,19.5,0.396,7.9
57.0,293.0,87,15.29606643,466,13.8,120,5.0,5.0,0.1,19.5,19.7,0.381,6.8
56.7,295.0,87,11.08905273,798,13.4,122,41.0,41.0,0.1,19.7,19.9,0.373,6.5
56.2,3.0,88,16.88735091,2486,13.0,122,36.0,36.0,0.1,19.9,2.2,0.341,6.2
55.3,316.0,88,10.5747282,8762,12.6,122,35.0,33.0,0.1,2.1,2.4,0.34,5.9
54.8,321.0,88,10.42496,6532,12.2,122,24.0,24.0,0.1,2.3,2.5,0.338,5.5
77.8,74.0,0,364.9752287,0,58.0,0,99.0,99.0,0.1,1.2,1.3,0.762,14.2
77.5,8.0,0,428.7490668,0,57.2,1,98.0,98.0,0.1,1.2,1.3,0.7609999999999999,14.2
77.2,84.0,0,430.8769785,0,56.5,1,99.0,99.0,0.1,1.3,1.4,0.759,14.2
76.9,86.0,0,412.4433563,9,55.8,1,99.0,99.0,0.1,1.3,1.4,0.752,14.2
76.6,88.0,0,437.0621,28,55.1,1,99.0,99.0,0.1,1.4,1.5,0.738,13.3
76.2,91.0,1,41.82275719,10,54.3,1,99.0,99.0,0.1,1.4,1.5,0.725,12.5
76.1,91.0,1,348.0559517,0,53.5,1,98.0,98.0,0.1,1.5,1.6,0.721,12.2
75.3,1.0,1,36.62206845,0,52.6,1,99.0,99.0,0.1,1.6,1.6,0.713,12.0
75.9,9.0,1,32.24655228,22,51.7,1,99.0,98.0,0.1,1.6,1.7,0.703,11.6
74.2,99.0,1,3.3021542,68,5.8,1,97.0,97.0,0.1,1.7,1.8,0.696,11.4
73.5,15.0,1,26.99312143,6,49.9,1,97.0,98.0,0.1,1.8,1.8,0.685,10.8
73.0,17.0,1,221.8428,7,48.9,1,98.0,97.0,0.1,1.8,1.9,0.6809999999999999,10.9
72.8,18.0,1,14.71928882,8,47.9,1,97.0,97.0,0.1,1.9,2.0,0.674,10.7
73.3,15.0,1,104.5169157,16,46.9,1,98.0,98.0,0.1,2.0,2.1,0.67,10.7
73.6,14.0,1,96.20557078,18,46.0,1,97.0,97.0,0.1,2.1,2.1,0.662,10.6
72.6,11.0,1,91.71154052,662,45.0,1,97.0,97.0,0.1,2.1,2.2,0.6559999999999999,10.7
75.6,19.0,21,0.0,63,59.5,24,95.0,95.0,0.1,6.0,5.8,0.743,14.4
75.4,11.0,21,54.2373183,0,58.4,24,95.0,95.0,0.1,6.0,5.8,0.741,14.4
75.3,112.0,21,544.4507432,25,57.2,24,95.0,95.0,0.1,5.9,5.8,0.737,14.4
75.1,113.0,21,555.9260833999998,18,56.1,24,95.0,95.0,0.1,5.9,5.8,0.732,14.4
74.9,116.0,21,509.0020405,112,55.0,24,95.0,95.0,0.1,5.9,5.8,0.7240000000000001,14.0
74.7,119.0,21,430.71758610000006,103,53.9,24,95.0,95.0,0.1,5.9,5.8,0.7140000000000001,13.6
74.4,123.0,20,352.0636419,107,52.8,23,94.0,95.0,0.1,6.0,5.9,0.705,13.1
74.1,126.0,20,43.08717334,217,51.8,23,92.0,93.0,0.1,6.0,5.9,0.6970000000000001,12.6
73.8,129.0,20,320.32392410000006,0,5.8,23,95.0,95.0,0.1,6.0,5.9,0.69,12.3
73.4,132.0,20,270.2401962,944,49.8,23,95.0,95.0,0.1,6.1,6.0,0.6859999999999999,12.3
72.9,136.0,19,2.548922758,2302,48.9,22,88.0,88.0,0.1,6.1,6.0,0.68,12.0
72.3,14.0,19,220.39369900000003,3289,47.9,23,86.0,86.0,0.1,6.2,6.1,0.6729999999999999,11.7
71.7,146.0,20,25.0185226,15374,47.0,23,87.0,87.0,0.1,6.3,6.1,0.6629999999999999,11.5
71.6,145.0,20,148.51198430000005,5862,46.1,23,86.0,86.0,0.1,6.3,6.2,0.653,11.1
71.4,145.0,20,147.9860714,2686,45.3,24,89.0,89.0,0.1,6.4,6.3,0.644,10.9
71.3,145.0,21,154.4559436,0,44.4,25,86.0,86.0,0.1,6.5,6.4,0.636,10.7
52.4,335.0,66,0.0,118,23.3,98,7.0,64.0,1.9,8.3,8.2,0.531,11.4
51.7,348.0,67,23.965612,11699,22.7,101,68.0,64.0,2.0,8.5,8.3,0.527,11.4
51.1,355.0,69,35.95857279,8523,22.1,105,67.0,77.0,2.3,8.6,8.5,0.523,11.4
56.0,358.0,72,256.1225243,4458,21.5,110,75.0,75.0,2.6,8.8,8.6,0.508,10.3
51.0,361.0,75,239.8913921,1449,21.0,115,73.0,71.0,2.5,8.9,8.8,0.495,9.4
49.6,365.0,78,191.6537407,1190,2.4,121,81.0,77.0,2.5,9.1,9.0,0.488,9.0
49.1,369.0,81,212.92293250000003,2807,19.8,127,63.0,6.0,2.5,9.3,9.2,0.48,8.5
